Name,Link,Location,Time
CORPORATE SOCIAL RESPONSIBILITY SEMINAR,https://www.eventbrite.co.uk/e/corporate-social-responsibility-seminar-tickets-167719592817?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
CORPORATE GOVERNANCE BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,https://www.eventbrite.co.uk/e/corporate-governance-business-ethics-and-corporate-social-responsibility-tickets-168232783785?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
TRAINING ON SENIOR MANAGEMENT LEADERSHIP PROGRAM,https://www.eventbrite.com/e/training-on-senior-management-leadership-program-tickets-166622441207?aff=ebdssbdestsearch,"Data-Afrique Consultancy • Nairobi, Nairobi County","Mon, Oct 11, 8:00 AM"
SENIOR MANAGEMENT LEADERSHIP PROGRAM,https://www.eventbrite.co.uk/e/senior-management-leadership-program-tickets-168234372537?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
TRAINING COURSE ON CUSTOMER CARE AND PUBLIC RELATIONS,https://www.eventbrite.com/e/training-course-on-customer-care-and-public-relations-tickets-166633450135?aff=ebdssbdestsearch,"Data-Afrique Consultancy • Nairobi, Nairobi County","Mon, Oct 11, 8:00 AM"
TRAINING COURSE ON PLANNING AND MANAGING PR CAMPAIGNS,https://www.eventbrite.com/e/training-course-on-planning-and-managing-pr-campaigns-tickets-166654830083?aff=ebdssbdestsearch,"Data-Afrique Consultancy • Nairobi, Nairobi County","Mon, Oct 11, 8:00 AM"
CUSTOMER CARE AND PUBLIC RELATIONS WORKSHOP,https://www.eventbrite.co.uk/e/customer-care-and-public-relations-workshop-tickets-168251746503?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
WORKSHOP ON PLANNING AND MANAGING PR CAMPAIGNS,https://www.eventbrite.co.uk/e/workshop-on-planning-and-managing-pr-campaigns-tickets-168401420181?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
SEMINAR ON HIGH PERFORMANCE LEADERSHIP: BEST PRACTICE TECHNIQUES FOR THE C-,https://www.eventbrite.co.uk/e/seminar-on-high-performance-leadership-best-practice-techniques-for-the-c--tickets-168412936627?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
SHE LEADS AFRICA - WOMEN ENTREPRENEURSHIP FREE SEMINAR,https://www.eventbrite.com/e/she-leads-africa-women-entrepreneurship-free-seminar-tickets-184077559937?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
SEMINAR ON CFO STRATEGY AND LEADERSHIP PROGRAM AND EXPOSURE,https://www.eventbrite.co.uk/e/seminar-on-cfo-strategy-and-leadership-program-and-exposure-tickets-168408118215?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 1, 8:00 AM + 1 more event"
NAIROBI'S LARGEST FINANCIAL SEMINAR OF 2021,https://www.eventbrite.com/e/nairobis-largest-financial-seminar-of-2021-tickets-184088111497?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
KENYA DIGITAL ENTREPRENEURSHIP & INVESTING,https://www.eventbrite.com/e/kenya-digital-entrepreneurship-investing-tickets-184084901897?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
IMPACT NAIROBI- BELIEVE BIG KENYA TOUR,https://www.eventbrite.com/e/impact-nairobi-believe-big-kenya-tour-tickets-183934692617?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
EMPOWERING AFRICA IN THE DIGITAL ERA,https://www.eventbrite.com/e/empowering-africa-in-the-digital-era-tickets-184090839657?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
START A HOME-BASED ONLINE BUSINESS IN KENYA - FREE SEMINAR,https://www.eventbrite.com/e/start-a-home-based-online-business-in-kenya-free-seminar-tickets-184087439487?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
WORKSHOP ON LEADING STRATEGIC HR TRANSFORMATION,https://www.eventbrite.co.uk/e/workshop-on-leading-strategic-hr-transformation-tickets-168418896453?aff=ebdssbdestsearch,"Nairobi • Nairobi, Nairobi County","Mon, Nov 8, 8:00 AM + 1 more event"
NEW RULES OF MONEY KENYA,https://www.eventbrite.com/e/new-rules-of-money-kenya-tickets-184082033317?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
IMPACT NAIROBI- FOREX & CRYPTO FREE SEMINAR,https://www.eventbrite.co.uk/e/impact-nairobi-forex-crypto-free-seminar-tickets-181275418657?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
FOREX & CRYPTOCURRENCY FREE SEMINAR- KENYA,https://www.eventbrite.com/e/forex-cryptocurrency-free-seminar-kenya-tickets-184078342277?aff=ebdssbdestsearch,"Visa Oshwal Community Centre • Nairobi, Nairobi County","Sun, Oct 24, 1:30 PM"
